chunk_size,chunk_num,embedding_function,splitter,faithfulness,context_recall,context_precision,answer_relevancy,faithfulness_nan_percent,context_recall_nan_percent,context_precision_nan_percent,answer_relevancy_nan_percent
100,1,huggingface,related,0.7767149182811834,0.3694402610441767,0.4066265059834337,0.5631297592712794,12.5,0.0,0.0,0.0
100,2,huggingface,related,0.781403911467121,0.3614457831325301,0.5406626505483433,0.6381851796216751,7.83132530120482,0.0,0.0,0.0
100,3,huggingface,related,0.7936183319462802,0.3798712707974756,0.6325301204186747,0.6720420193063916,6.77710843373494,0.0,0.0,0.0
100,4,huggingface,related,0.7936362204104139,0.3534889558232931,0.649096385477259,0.6806142708848393,6.626506024096386,0.0,0.0,0.0
200,1,huggingface,related,0.7516380758955016,0.3477409638554217,0.5271084336822289,0.628155199984344,8.734939759036145,0.0,0.0,0.0
200,2,huggingface,related,0.7743173846115022,0.3629016064257028,0.6355421686111447,0.6912277382937786,5.271084337349398,0.0,0.0,0.0
200,3,huggingface,related,0.8120453301487782,0.4111105134825014,0.7078313252304217,0.7288199443511079,3.91566265060241,0.0,0.0,0.0
200,4,huggingface,related,0.8247419247419245,0.4288547045324153,0.7319277107701807,0.7498851072513696,4.066265060240964,0.0,0.0,0.0
400,1,huggingface,related,0.7925616345829113,0.3796866035570854,0.5602409637993976,0.6899147506711027,7.981927710843372,0.0,0.0,0.0
400,2,huggingface,related,0.813614141866493,0.4426724756167527,0.6897590360756024,0.7381940035963109,3.91566265060241,0.0,0.0,0.0
400,3,huggingface,related,0.8074219758123337,0.4903524813539873,0.7620481926948796,0.7717760542570369,3.1626506024096384,0.0,0.0,0.0
400,4,huggingface,related,0.8456721672438161,0.5291893765538344,0.798192771004518,0.7779029215996629,2.2590361445783134,0.0,0.0,0.0
800,1,huggingface,related,0.789331855420565,0.3984455679862307,0.5888554216278615,0.6955593979417064,6.626506024096386,0.0,0.0,0.0
800,2,huggingface,related,0.8296638300935175,0.5080213711990821,0.7048192770379519,0.7543978683716557,3.614457831325301,0.0,0.0,0.0
800,3,huggingface,related,0.8547855217585608,0.5621593516924842,0.7620481926948796,0.7651526400177734,2.409638554216868,0.0,0.0,0.0
800,4,huggingface,related,0.8621863301816861,0.5913248231019316,0.8042168673894577,0.777800829615552,2.710843373493976,0.0,0.0,0.0
1600,1,huggingface,related,0.8027298759441618,0.4101047045324154,0.5557228915106928,0.6998536764717342,5.120481927710843,0.0,0.0,0.0
1600,2,huggingface,related,0.8469882152251255,0.5248762908777969,0.6852409637868976,0.7468266113162719,4.066265060240964,0.0,0.0,0.0
1600,3,huggingface,related,0.8515149784247006,0.5911305938037866,0.7560240963099397,0.7613154158659331,2.409638554216868,0.0,0.0,0.0
1600,4,huggingface,related,0.8810641496159186,0.6592584624211131,0.825301204736747,0.7838387915621323,2.710843373493976,0.0,0.0,0.0
